,ID,clube_mandante,qtd_cartao_amarelo_mandante,qtd_cartao_vermelho_mandante,clube_visitante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_visitante,total_cartoes_mandante,total_cartoes_visitante,total_cartoes_amarelos,total_cartoes_vermelhos,total_cartoes_partida,rodada,mandante_Placar,visitante_Placar,vencedor,campeonato,mandante,faltas_mandante,visitante,faltas_visitante,total_faltas_partida
2008,6652,Sao Paulo,3,0,Ceara,2,0,3,2,5,0,5,15,1,0,Sao Paulo,17,Sao Paulo,12,Ceara,16,28
2009,6653,Bahia,2,1,Goias,3,0,3,3,5,1,6,15,1,1,-,17,Bahia,7,Goias,13,20
2010,6654,Cruzeiro,2,0,Santos,0,1,2,1,2,1,3,15,2,0,Cruzeiro,17,Cruzeiro,16,Santos,7,23
2011,6655,Chapecoense,1,0,Avai,0,0,1,0,1,0,1,15,1,0,Chapecoense,17,Chapecoense,25,Avai,15,40
2012,6656,Atletico-MG,0,0,Bahia,2,0,0,2,2,0,2,16,0,1,Bahia,17,Atletico-MG,17,Bahia,16,33
2013,6657,Gremio,3,0,Athletico-PR,1,0,3,1,4,0,4,16,2,1,Gremio,17,Gremio,0,Athletico-PR,0,0
2014,6658,Goias,2,1,Internacional,2,0,3,2,4,1,5,16,2,1,Goias,17,Goias,9,Internacional,14,23
2015,6659,Vasco,4,0,Sao Paulo,3,1,4,4,7,1,8,16,2,0,Vasco,17,Vasco,19,Sao Paulo,16,35
2016,6660,Santos,3,0,Fortaleza,3,0,3,3,6,0,6,16,3,3,-,17,Santos,14,Fortaleza,22,36
2017,6661,Ceara,3,0,Flamengo,0,0,3,0,3,0,3,16,0,3,Flamengo,17,Ceara,11,Flamengo,14,25
2018,6662,Avai,0,1,Corinthians,1,1,1,2,1,2,3,16,1,1,-,17,Avai,19,Corinthians,15,34
2019,6663,CSA,3,0,Cruzeiro,3,0,3,3,6,0,6,16,1,1,-,17,CSA,17,Cruzeiro,14,31
2020,6664,Botafogo-RJ,2,0,Chapecoense,1,0,2,1,3,0,3,16,0,0,-,17,Botafogo-RJ,13,Chapecoense,16,29
2021,6665,Palmeiras,0,0,Fluminense,2,0,0,2,2,0,2,16,3,0,Palmeiras,17,Palmeiras,12,Fluminense,11,23
2022,6666,Sao Paulo,1,1,Gremio,1,0,2,1,2,1,3,17,0,0,-,17,Sao Paulo,10,Gremio,9,19
2023,6667,Bahia,1,0,CSA,1,0,1,1,2,0,2,17,1,0,Bahia,17,Bahia,15,CSA,17,32
2024,6668,Chapecoense,2,0,Santos,4,0,2,4,6,0,6,17,0,1,Santos,17,Chapecoense,17,Santos,19,36
2025,6669,Athletico-PR,1,0,Ceara,3,0,1,3,4,0,4,17,1,0,Athletico-PR,17,Athletico-PR,14,Ceara,15,29
2026,6670,Internacional,4,0,Botafogo-RJ,4,0,4,4,8,0,8,17,3,2,Internacional,17,Internacional,10,Botafogo-RJ,6,16
