,ID,Unnamed: 0,campeonato,clube_mandante,clube_visitante,data,qtd_cartao_amarelo_mandante,qtd_cartao_amarelo_visitante,qtd_cartao_vermelho_mandante,qtd_cartao_vermelho_visitante,total_cartoes_amarelos,total_cartoes_mandante,total_cartoes_partida,total_cartoes_vermelhos,total_cartoes_visitante
210,4824,210.0,12,Athletico-PR,Vitoria,14/9/2014,1,2,0,0,3,1,3,0,2
211,4825,211.0,12,Atletico-MG,Gremio,14/9/2014,1,2,0,0,3,1,3,0,2
212,4826,212.0,12,Criciuma,Goias,14/9/2014,3,5,0,0,8,3,8,0,5
213,4827,213.0,12,Vitoria,Fluminense,17/9/2014,1,0,0,0,1,1,1,0,0
214,4828,214.0,12,Cruzeiro,Athletico-PR,17/9/2014,1,0,0,0,1,1,1,0,0
215,4829,215.0,12,Sport,Internacional,17/9/2014,4,1,0,0,5,4,5,0,1
216,4830,216.0,12,Figueirense,Criciuma,17/9/2014,2,4,0,0,6,2,6,0,4
217,4831,217.0,12,Botafogo-RJ,Bahia,17/9/2014,4,3,3,0,7,7,10,3,3
218,4832,218.0,12,Palmeiras,Flamengo,17/9/2014,1,4,1,0,5,2,6,1,4
219,4833,219.0,12,Coritiba,Sao Paulo,17/9/2014,5,1,0,0,6,5,6,0,1
220,4834,220.0,12,Corinthians,Chapecoense,18/9/2014,0,3,0,0,3,0,3,0,3
221,4835,221.0,12,Goias,Atletico-MG,18/9/2014,0,1,0,0,1,0,1,0,1
222,4836,222.0,12,Gremio,Santos,18/9/2014,2,0,0,0,2,2,2,0,0
223,4837,223.0,12,Athletico-PR,Internacional,20/9/2014,1,1,0,0,2,1,2,0,1
224,4838,224.0,12,Criciuma,Botafogo-RJ,20/9/2014,4,4,0,0,8,4,8,0,4
225,4839,225.0,12,Cruzeiro,Atletico-MG,21/9/2014,0,3,0,0,3,0,3,0,3
226,4840,226.0,12,Flamengo,Fluminense,21/9/2014,1,5,0,0,6,1,6,0,5
227,4841,227.0,12,Sport,Coritiba,21/9/2014,2,2,0,0,4,2,4,0,2
228,4842,228.0,12,Corinthians,Sao Paulo,21/9/2014,4,4,1,1,8,5,10,2,5
229,4843,229.0,12,Vitoria,Bahia,21/9/2014,3,4,0,0,7,3,7,0,4
230,4844,230.0,12,Santos,Figueirense,21/9/2014,1,2,0,0,3,1,3,0,2
231,4845,231.0,12,Goias,Palmeiras,21/9/2014,4,1,0,1,5,4,6,1,2
232,4846,232.0,12,Gremio,Chapecoense,21/9/2014,2,4,0,0,6,2,6,0,4
233,4847,233.0,12,Internacional,Criciuma,24/9/2014,2,3,0,0,5,2,5,0,3
234,4848,234.0,12,Coritiba,Cruzeiro,24/9/2014,4,2,0,0,6,4,6,0,2
235,4849,235.0,12,Bahia,Sport,24/9/2014,2,3,0,0,5,2,5,0,3
236,4850,236.0,12,Chapecoense,Athletico-PR,24/9/2014,1,2,0,0,3,1,3,0,2
237,4851,237.0,12,Sao Paulo,Flamengo,24/9/2014,1,3,1,0,4,2,5,1,3
238,4852,238.0,12,Figueirense,Corinthians,24/9/2014,2,1,0,0,3,2,3,0,1
239,4854,239.0,12,Palmeiras,Vitoria,25/9/2014,2,4,0,0,6,2,6,0,4
240,4855,240.0,12,Botafogo-RJ,Goias,25/9/2014,1,2,0,0,3,1,3,0,2
241,4856,241.0,12,Atletico-MG,Santos,25/9/2014,3,3,0,0,6,3,6,0,3
242,4857,242.0,12,Chapecoense,Criciuma,27/9/2014,1,3,1,1,4,2,6,2,4
243,4858,243.0,12,Sport,Cruzeiro,27/9/2014,2,1,0,0,3,2,3,0,1
244,4859,244.0,12,Sao Paulo,Fluminense,27/9/2014,4,1,0,0,5,4,5,0,1
245,4860,245.0,12,Bahia,Flamengo,28/9/2014,1,0,0,0,1,1,1,0,0
246,4861,246.0,12,Athletico-PR,Corinthians,28/9/2014,3,2,0,0,5,3,5,0,2
247,4862,247.0,12,Botafogo-RJ,Gremio,28/9/2014,3,4,0,0,7,3,7,0,4
248,4863,248.0,12,Atletico-MG,Vitoria,28/9/2014,2,2,0,0,4,2,4,0,2
249,4864,249.0,12,Figueirense,Palmeiras,28/9/2014,2,3,0,1,5,2,6,1,4
250,4865,250.0,12,Internacional,Coritiba,28/9/2014,1,1,0,0,2,1,2,0,1
251,4866,251.0,12,Santos,Goias,28/9/2014,1,2,0,0,3,1,3,0,2
252,4867,252.0,12,Palmeiras,Chapecoense,2/10/2014,0,4,0,0,4,0,4,0,4
253,4868,253.0,12,Flamengo,Santos,4/10/2014,3,2,0,0,5,3,5,0,2
254,4869,254.0,12,Fluminense,Bahia,4/10/2014,3,1,0,0,4,3,4,0,1
255,4870,255.0,12,Coritiba,Athletico-PR,4/10/2014,2,2,0,0,4,2,4,0,2
256,4871,256.0,12,Vitoria,Botafogo-RJ,4/10/2014,2,3,0,0,5,2,5,0,3
257,4872,257.0,12,Gremio,Sao Paulo,4/10/2014,5,3,0,0,8,5,8,0,3
258,4873,258.0,12,Corinthians,Sport,4/10/2014,0,1,0,0,1,0,1,0,1
259,4874,259.0,12,Cruzeiro,Internacional,4/10/2014,2,4,0,0,6,2,6,0,4
260,4875,260.0,12,Criciuma,Atletico-MG,4/10/2014,2,2,0,0,4,2,4,0,2
261,4876,261.0,12,Goias,Figueirense,4/10/2014,0,1,0,0,1,0,1,0,1
262,4877,262.0,12,Botafogo-RJ,Palmeiras,8/10/2014,3,3,0,0,6,3,6,0,3
263,4878,263.0,12,Coritiba,Criciuma,8/10/2014,1,1,0,0,2,1,2,0,1
264,4879,264.0,12,Sao Paulo,Athletico-PR,8/10/2014,3,2,0,0,5,3,5,0,2
265,4880,265.0,12,Vitoria,Goias,8/10/2014,1,1,0,0,2,1,2,0,1
266,4881,266.0,12,Cruzeiro,Corinthians,8/10/2014,1,2,0,0,3,1,3,0,2
267,4882,267.0,12,Gremio,Sport,8/10/2014,3,1,0,0,4,3,4,0,1
268,4883,268.0,12,Figueirense,Flamengo,8/10/2014,5,2,0,0,7,5,7,0,2
269,4884,269.0,12,Santos,Bahia,9/10/2014,1,1,0,0,2,1,2,0,1
270,4885,270.0,12,Fluminense,Atletico-MG,9/10/2014,1,2,0,0,3,1,3,0,2
271,4886,271.0,12,Chapecoense,Internacional,9/10/2014,0,1,0,1,1,0,2,1,2
