,total_cartoes_mandante,total_cartoes_visitante,faltas_mandante,faltas_visitante,total_faltas_partida,classico_regional,MedAma5_mandante,MedVer5_mandante,MedAma5_visitante,MedVer5_visitante,MedAmaTemp_mandante,MedAmaTemp_visitante,MedVerTemp_mandante,MedVerTemp_visitante,MedAmaH_mandante,MedAmaH_visitante,MedVerH_mandante,MedVerH_visitante,MaxAmaTemp_mandante,MinAmaTemp_mandante,MaxAmaTemp_visitante,MinAmaTemp_visitante,MaxVerTemp_mandante,MinVerTemp_mandante,MaxVerTemp_visitante,MinVerTemp_visitante
36,5,5,21,21,42,1,0.0,0.0,0.0,0.0,1.67,3.0,0.0,0.33,1.67,3.0,0.0,0.33,2.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0
37,3,2,19,17,36,0,0.0,0.0,0.0,0.0,2.67,2.33,0.33,0.0,2.67,2.33,0.33,0.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0
38,7,4,24,23,47,0,0.0,0.0,0.0,0.0,3.0,1.67,0.0,0.0,3.0,1.67,0.0,0.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
39,3,7,17,11,28,0,0.0,0.0,0.0,0.0,3.33,3.0,0.33,0.0,3.33,3.0,0.33,0.0,5.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0
40,1,4,12,8,20,0,0.0,0.0,0.0,0.0,2.5,3.25,0.5,0.25,2.5,3.25,0.5,0.25,4.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0
41,4,3,15,18,33,0,0.0,0.0,0.0,0.0,4.5,3.0,0.0,0.25,4.5,3.0,0.0,0.25,6.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0
42,3,5,16,12,28,1,0.0,0.0,0.0,0.0,3.25,1.0,0.25,0.25,3.25,1.0,0.25,0.25,5.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0
43,5,4,14,15,29,1,0.0,0.0,0.0,0.0,2.0,2.5,0.25,0.25,2.0,2.5,0.25,0.25,3.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0
44,2,3,16,17,33,0,0.0,0.0,0.0,0.0,3.75,3.75,0.25,0.25,3.75,3.75,0.25,0.25,6.0,2.0,6.0,1.0,1.0,0.0,1.0,0.0
45,3,3,12,15,27,0,0.0,0.0,0.0,0.0,4.5,1.5,0.0,0.0,4.5,1.5,0.0,0.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
46,2,3,22,10,32,0,0.0,0.0,0.0,0.0,3.25,2.5,0.0,0.0,3.25,2.5,0.0,0.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
47,1,4,13,24,37,0,0.0,0.0,0.0,0.0,2.0,3.0,0.25,0.0,2.0,3.0,0.25,0.0,3.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0
48,2,4,11,13,24,0,0.0,0.0,0.0,0.0,1.75,3.25,0.0,0.25,1.75,3.25,0.0,0.25,3.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0
49,1,4,15,13,28,0,0.0,0.0,0.0,0.0,3.5,2.75,0.25,0.25,3.5,2.75,0.25,0.25,6.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0
2987,0,0,12,13,25,1,0.0,0.0,0.0,0.0,1.8,3.4,0.0,0.2,1.8,3.4,0.0,0.2,4.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0
50,1,1,13,12,25,0,0.0,0.0,0.0,0.0,3.6,3.2,0.2,0.2,3.6,3.2,0.2,0.2,6.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0
51,2,2,17,15,32,1,0.0,0.0,0.0,0.0,2.6,3.0,0.4,0.2,2.6,3.0,0.4,0.2,6.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0
52,4,3,15,7,22,0,0.0,0.0,0.0,0.0,2.2,4.0,0.4,0.4,2.2,4.0,0.4,0.4,4.0,1.0,6.0,2.0,1.0,0.0,2.0,0.0
