ID;data;clube_mandante_x;clube_visitante_x;cartao_amarelo_mandante;cartao_amarelo_visitante;cartao_vermelho_mandante;cartao_vermelho_visitante
6983;10/9/2020;Corinthians;Palmeiras;2;2;2;0
6984;10/9/2020;Bahia;Gremio;1;2;1;1
6986;12/9/2020;Athletico-PR;Coritiba;4;0;0;1
6994;13/9/2020;Palmeiras;Sport;1;3;1;1
7006;3/10/2020;Gremio;Internacional;0;1;1;1
7013;4/10/2020;Goias;Santos;3;3;1;1
7015;4/10/2020;Atletico-MG;Vasco;3;2;0;1
7018;7/10/2020;Bahia;Vasco;4;2;0;1
7023;7/10/2020;Fortaleza;Atletico-MG;2;3;1;0
7031;11/10/2020;Santos;Gremio;2;2;0;1
7032;11/10/2020;Sport;Botafogo-RJ;3;1;0;1
7043;16/10/2020;Goias;Bahia;5;3;0;2
7066;31/10/2020;Botafogo-RJ;Ceara;3;4;1;1
7077;7/11/2020;Sao Paulo;Goias;2;0;0;1
7104;22/11/2020;Corinthians;Gremio;1;1;2;0
7112;28/11/2020;Atletico-GO;Internacional;1;2;0;1
7119;5/12/2020;Fluminense;Athletico-PR;4;2;0;1
7136;16/12/2020;Sao Paulo;Atletico-MG;2;2;0;1
7138;19/12/2020;Sport;Gremio;2;1;0;1
7200;24/1/2021;Ceara;Palmeiras;2;5;1;0
7201;24/1/2021;Atletico-GO;Fortaleza;2;1;0;1
7216;3/2/2021;Gremio;Santos;5;1;0;1
7221;4/2/2021;Fortaleza;Coritiba;2;3;0;2
7243;14/2/2021;Gremio;Sao Paulo;4;4;1;0
7247;20/2/2021;Fortaleza;Bahia;3;3;1;0
7261;25/2/2021;Ceara;Botafogo-RJ;2;0;1;0
7285;23/11/2021;Gremio;Flamengo;2;2;2;0
7320;24/6/2021;America-MG;Juventude;1;2;1;0
7331;27/6/2021;Santos;Atletico-MG;4;2;0;1
7337;30/6/2021;Fortaleza;Chapecoense;2;3;1;0
7343;1/7/2021;Bragantino;Ceara;1;2;0;1
7352;4/7/2021;Ceara;Juventude;2;1;0;1
7373;11/7/2021;Cuiaba;Ceara;0;2;1;0
7397;31/7/2021;Internacional;Cuiaba;1;3;1;0
7400;1/8/2021;Atletico-MG;Athletico-PR;2;3;1;0
7408;7/8/2021;Palmeiras;Fortaleza;4;1;1;1
7414;8/8/2021;Flamengo;Internacional;1;2;1;0
7417;14/8/2021;Atletico-MG;Palmeiras;2;0;0;1
7436;28/8/2021;Sport;Chapecoense;0;1;1;0
7448;5/9/2021;Athletico-PR;Sport;1;1;0;1
7457;11/9/2021;Juventude;Cuiaba;3;4;0;1
7476;25/9/2021;Ceara;Chapecoense;0;2;0;1
7495;27/10/2021;Bahia;Ceara;3;1;0;1
7496;5/10/2021;Corinthians;Bahia;0;0;0;1
7514;10/10/2021;Santos;Gremio;4;5;0;1
7516;12/10/2021;Bragantino;Atletico-GO;1;4;1;0
7575;11/11/2021;Flamengo;Bahia;0;1;1;2
7592;14/11/2021;Fluminense;Palmeiras;3;4;1;2
7584;8/11/2021;Chapecoense;Flamengo;2;3;1;1
7610;29/11/2021;Atletico-GO;Bahia;5;2;0;1
7614;3/12/2021;Athletico-PR;Cuiaba;4;5;0;1
7623;30/11/2021;Cuiaba;Palmeiras;4;1;0;1
7648;9/4/2022;Palmeiras;Ceara;4;8;0;1
7673;1/5/2022;Coritiba;Fluminense;0;2;0;1
7682;24/4/2022;Juventude;Cuiaba;1;4;1;0
7686;7/5/2022;Atletico-MG;America-MG;4;3;0;1
7690;8/5/2022;Atletico-GO;Goias;4;2;0;1
7701;21/5/2022;Cuiaba;Internacional;1;7;2;0
7712;15/5/2022;Coritiba;America-MG;1;4;0;1
7713;15/5/2022;Botafogo-RJ;Fortaleza;3;0;0;1
7717;28/5/2022;Sao Paulo;Ceara;2;5;1;0
7739;8/6/2022;Atletico-GO;Avai;1;3;0;1
7755;13/6/2022;Botafogo-RJ;Avai;4;4;0;1
7769;19/6/2022;Coritiba;Athletico-PR;4;6;2;0
7771;19/6/2022;Internacional;Botafogo-RJ;4;6;2;2
7783;26/6/2022;Goias;Cuiaba;3;3;0;1
7804;10/7/2022;Cuiaba;Botafogo-RJ;1;1;0;2
7835;25/7/2022;Coritiba;Cuiaba;4;3;1;0
7856;13/8/2022;Goias;Avai;0;2;1;0
7858;13/8/2022;Cuiaba;Juventude;4;4;0;1
7859;13/8/2022;Botafogo-RJ;Atletico-GO;0;3;1;0
7890;4/9/2022;Flamengo;Ceara;3;6;1;1
7894;4/9/2022;Cuiaba;Sao Paulo;3;1;0;1
7901;11/9/2022;Avai;Athletico-PR;3;3;0;1
7909;18/9/2022;Flamengo;Fluminense;1;4;2;3
7914;18/9/2022;Athletico-PR;Cuiaba;3;1;0;1
7926;1/10/2022;Atletico-MG;Fluminense;2;2;0;1
7934;3/10/2022;Botafogo-RJ;Palmeiras;4;1;0;1
7938;5/10/2022;Ceara;Goias;3;4;1;0
7957;15/10/2022;America-MG;Fortaleza;1;2;0;1
7958;16/10/2022;Ceara;Cuiaba;4;4;0;1
7968;22/10/2022;Santos;Corinthians;1;3;1;1
7986;31/10/2022;Ceara;Fluminense;1;2;1;0
7997;5/11/2022;Fluminense;Sao Paulo;1;0;0;1
8002;6/11/2022;Fortaleza;Atletico-GO;2;4;0;1
8008;9/11/2022;Fluminense;Goias;3;1;0;2
8021;13/11/2022;Cuiaba;Coritiba;1;3;0;1
